DESCOBERTO|16240|12000|8860|12000|8500|7000
DESTERRO DE ENTRE RIOS|6000|4000|3500|6000|4000|3000
DESTERRO DO MELO|3225|2687.50|2687.50|2687.50|2687.50|2687.50
DIAMANTINA|7700|5000|3700|5500|5500|2900
DIOGO DE VASCONCELOS|18019.08|16217.17|14415.26|12613.35|10811.45|9009.54
DIONISIO|12054|10848|9643|12666|10000|9643
DIVINESIA|15000|11000|9000|11000|9000|6600
DIVINO|26450|20460|14850|14740|11110|7040
DIVINO DAS LARANJEIRAS|15000|12000|10000|15000|12000|10000
DIVINOLANDIA DE MINAS|15000|12500|9000|8000|7250|3500
DIVINOPOLIS|20000|15000|10000|15000|10000|8000
DIVISA ALEGRE|3500|2600|2200|2200|1950|1500
DIVISA NOVA|60805.50|48444|39796.50|42007.50|39615|26715
DIVISOPOLIS|4000|2500|1750|2000|1750|1600
DOM BOSCO|6000|5000|4000|3000|2500|1500
DOM CAVATI|7950|6050|4500|6280|6050|3200
DOM JOAQUIM|12300|10900|8500|9700|7300|6000
DOM SILVERIO|12000|10000|8000|9000|6000|6000
DOM VICOSO|20000|18000|15000|15000|12000|7000
DONA EUZEBIA|25500|20500|15500|15500|13000|13000
DORES DE CAMPOS|12463.50|9411|6883|8411|5483|2500
DORES DE GUANHAES|9400|7320|6300|6800|5250|4200
DORES DO INDAIA|19000|15200|13300|11400|7600|5700
DORES DO TURVO|16515|9174|6601|8808|6484|5994
DORESOPOLIS|25000|20000|12000|20000|12000|3500
DOURADOQUARA|20000|16200|15000|12000|8000|5000
DURANDE|23400|18700|14000|18700|16400|11700
ELOI MENDES|53500|46000|37500|33500|30000|18000
ENGENHEIRO NAVARRO|10000|6000|4000|4000|3000|3000
ENTRE RIOS DE MINAS|20302.65|16208.70|13535.50|16208.70|12181.56|9474.56
ERVALIA|18273.20|13077.77|9510.60|13077.77|8916.60|8916.60
ESMERALDAS|42433.42|35359.77|28290.36|25460.05|21216.71|16973.37
ESPERA FELIZ|30000|25000|18000|15000|12000|8000
ESPINOSA|3700|2800|1650|3600|1900|1700
ESPIRITO SANTO DO DOURADO|94504.27|85053.84|75603.42|66152.99|56702.56|47252.13
ESTIVA|38000|31000|15000|29000|19500|15500
ESTRELA DALVA|8673.79|6939.03|5204.27|8673.79|5204.27|5204.27
ESTRELA DO SUL|70000|60000|50000|50000|40000|20000
EUGENOPOLIS|21000|13500|7500|13000|6500|6500
EWBANK DA CAMARA|11000|8000|5000|6000|5000|3500
EXTREMA|53197.25|48710.37|44282.16|49526.09|38455.55|33794.27
FAMA|50260.50|40987.50|32941.50|39814.50|30678.75|21843.75
FARIA LEMOS|12000|8000|6000|10000|8000|5000
FELICIO DOS SANTOS|9660|5145|3780|6825|3150|2310
FELISBURGO|3154.15|2340.50|1526.85|1940.15|1325.32|1033.90
FELIXLANDIA|24200|17600|16500|15400|9900|9900
FERROS|7000|6000|5000|7000|6000|5000
FERVEDOURO|20000|16250|12600|16200|12250|8900
FLORESTAL|30000|26000|24000|22000|20000|19500
FORMIGA|33402.86|15333.31|9072.17|12096.22|7560.15|6019.69
FORMOSO|8850|4460|3530|4460|2800|1250
FORTALEZA DE MINAS|30000|26000|22000|22000|18000|6500
FORTUNA DE MINAS|17500|14000|11650|14000|11650|9300
FRANCISCO BADARO|5500|3000|2500|2000|1800|1500
FRANCISCO DUMONT|7417.39|5933.92|4450.43|7417.39|4724.28|3709.63
FRANCISCO SA|9000|6000|4000|7560|4820|3560
FRANCISCOPOLIS|12000|9500|6000|8400|7200|4000
FREI GASPAR|2734|2370|1979|1883|1798|892
FREI INOCENCIO|4300|3800|2650|3800|2600|1700
FREI LAGONEGRO|9500|5500|3600|7500|5000|1600
FRONTEIRA|39100|35190|31280|25000|22000|17000
FRONTEIRA DOS VALES|12000|11000|9000|6000|5000|4650
FRUTA DE LEITE|3612|3255|2898|2520|3612|2000
FRUTAL|20905|18984|17176|17176|14832|7571
FUNILANDIA|29450|17700|8850|14710|14710|7500
GAMELEIRAS|3650|2650|2100|1850|1580|1250
GLAUCILANDIA|10061|8049|5500|5400|4800|3521
GOIANA|17335|13964|11475|14814|9683|9719
GONCALVES|92000|80400|70000|62000|58900|46750
GONZAGA|6952.11|6402.33|5884.56|5318.50|4829|4204.20
GOUVEIA|8000|7000|5000|6000|5000|3000
GOVERNADOR VALADARES|5499.67|4949.64|4924.46|4899.94|3299.54|2749.51
GRAO MOGOL|4700|4300|3000|4500|3800|2500
GRUPIARA|20849|16239|12415|9429|7543|5028
GUANHAES|8000|6900|5750|5170|4600|3450
GUARACIABA|10000|9000|8500|8000|7500|4000
GUARACIAMA|8100|6050|4950|6160|3245|3080
GUARANESIA|40176|34421|24040|24040|21855|17484
GUARANI|15000|10000|7000|20000|7000|3000
GUARARA|16240|12000|8860|12000|8500|7000
GUARDA-MOR|17000|13000|7500|7500|4800|3700
GUAXUPE|52272.73|36115.70|24710.74|17768.59|16880.16|13326.44
GUIDOVAL|33000|22000|17000|33000|22000|15000
GUIMARANIA|43000|35000|25000|20000|12000|5000
GUIRICEMA|22000|16000|11000|11000|8000|8000
GURINHATA|11422.03|10819.60|10723.21|9957.64|8712.79|8313.50
HELIODORA|24793.39|17355.37|12396.69|9971.36|8264.46|6500
IAPU|18500|18000|15200|16700|15200|10200
IBERTIOGA|10000|8000|6000|8000|6000|3000
IBIA|34796.99|26058.16|20878.28|13919.13|8351|5904.69
IBIAI|6640|5220|3840|5340|3180|2160
IBIRACATU|2300|1600|1000|3000|1800|1500
IBIRACI|52920|39690|25200|30240|22680|11340
IBIRITE|174259.87|160520.44|143615.25|143614.92|135522.15|125816.07
IBITIURA DE MINAS|34598.40|29849.40|20297|18591.50|15923.80|11391.80
IBITURUNA|25000|20000|15000|14000|12000|10000
ICARAI DE MINAS|2310|1890|1155|1312.50|892.50|892.50
IGARAPE|330000|264000|214500|280500|264000|252000
IGARATINGA|14000|10000|8000|10000|10000|5000
IJACI|15000|10500|7500|6600|6000|4500
ILICINEA|31348.78|17454.86|11795.53|13560.10|8735.38|4864.47
IMBE DE MINAS|27230|20000|13610|16750|13610|6800
INCONFIDENTES|42000|36750|25200|36750|23100|21000
INDAIABIRA|5100|3050|1600|3600|1200|2200
INDIANOPOLIS|34000|30740|27945|27945|34000|16160
INGAI|15000|10500|7500|6600|6000|4500
INHAPIM|22727|19628|15495|13429|12396|10330
INIMUTABA|5565|4987.50|3333.75|4987.50|3885|1155
IPANEMA|12619.89|9870.58|6032.02|9870.58|6032.02|4184.80
IPIACU|16387.50|14662.50|10350|12937.50|10350|9487.50
IPUIUNA|33000|28000|22000|19250|17000|13500
IRAI DE MINAS|21143.70|14924.50|8706|8706|6218.50|2487.42
ITABIRA|15000|12750|11025|8317.05|5775|2362.50
ITABIRINHA|13450|12100|11050|11050|8500|7400
ITABIRITO|24497.19|19661.44|14717.92|24497.19|19661.44|14717.92
ITACAMBIRA|2000|1500|1000|2500|2000|3500
ITACARAMBI|5327|3196.20|1385|3728.90|1385|1385
ITAGUARA|19500|15640|14076|15640|9384|5000
ITAIPE|7250|6525|5800|4710|3990|3260
ITAJUBA|29313|24322|17995|21133|17010|11918
ITAMARANDIBA|6634.91|5307.44|2740.21|5307.44|6634.91|2740.21
ITAMARATI DE MINAS|15000|11500|8500|15000|8500|5800
ITAMBACURI|4990.49|3669.07|2338.39|1918.21|1064.24|1064.24
ITAMBE DO MATO DENTRO|22000|20000|17000|15000|12000|6000
ITAMOGI|38922.75|32287.20|24172.31|26286.09|19831.77|14298.29
ITAMONTE|15000|10000|6000|6000|4300|3200
ITANHANDU|12650|11000|8800|7700|6050|4500
ITANHOMI|15000|10000|5000|10000|8800|5000
ITAOBIM|7090|5450|3270|2730|1390|950
ITAPAGIPE|19430|15725|14575|10695|9718|5253
ITAPECERICA|14500|11000|9500|8000|7000|6000
ITATIAIUCU|64000|45000|28000|41000|28000|20000
ITAU DE MINAS|22706.57|18165.25|15894.60|13623.94|11353.28|9082.63
ITAUNA|45000|35000|27000|22000|18000|15000
ITAVERAVA|13000|12500|11600|11600|10000|3900
ITINGA|3000|1600|1200|2000|750|600
ITUIUTABA|21949.61|15975.58|13032.72|16395.99|12612.30|11712.48
ITUMIRIM|17424|14520|11616|9438|8499.46|6981.70
ITURAMA|21058|18858|18858|18858|18858|6076
ITUTINGA|16500|13800|11800|13300|10500|7000
JABOTICATUBAS|20000|15000|12500|12500|9000|7000
JACINTO|4700|3900|3126.90|4498.17|3200|2738
JACUI|26000|23000|20000|22000|17000|12000
JACUTINGA|17000|12000|10000|9000|8000|7000
JAIBA|6960|4070|2900|2450|1490|1050
JAMPRUCA|4300|3600|2900|4100|2800|2300
JANAUBA|6590|4170|2805|4280|3180|2320
JANUARIA|6500|4000|2500|5000|2500|2500
JAPARAIBA|18253.75|15646.50|10431|10431|7823.25|3911.63
JAPONVAR|6000|4500|3500|2000|1000|800
JECEABA|17332.15|12000|10000|14000|9500|10000
JENIPAPO DE MINAS|4000|3000|2000|2900|2500|2200
JEQUERI|14375.85|12235.69|8625.51|10063.10|10781.89|9344.30
JEQUITAI|10000|6000|4500|5000|2000|2000
JEQUITIBA|20000|13700|11200|15000|8500|5000
JEQUITINHONHA|6714.88|4028.92|2467.62|5200|2340|2056.60
JESUANIA|40000|35000|22000|30000|22000|8000
JOAIMA|3254.13|2440.60|1626.85|2040.62|1425.42|1138.95
JOANESIA|5115|4257|3520|3179|2387|1782
JOAO MONLEVADE|18000|16000|10000|18000|12000|8000
JOAO PINHEIRO|10315.50|9522|6624|6007.60|4510.80|2389.70
JOAQUIM FELICIO|6500|5500|4500|5500|4500|4000
JORDANIA|5000|3500|3000|5000|2100|1000
JOSE GONCALVES DE MINAS|6000|4500|3700|5100|5400|2500
JOSE RAYDAN|7228|4439|2200|3300|2993|2530
JOSENOPOLIS|4500|3200|2200|4500|4000|2000
JUATUBA|97500|90000|83000|86000|78000|75000
JUIZ DE FORA|20455.92|17489.81|13805.75|10125.68|9205.16|7364.13
JURAMENTO|9000|6000|3000|7000|3000|2000
JURUAIA|24142.22|19831.11|16397.78|14363.33|9138.89|7624.44
JUVENILIA|2400|1600|900|3200|1100|1000
LADAINHA|5500|4700|4000|3900|3600|3600
LAGAMAR|25000|13500|8000|8000|3000|2500
LAGOA DA PRATA|15890.03|10646.32|6514.91|7627.22|6038.21|3178.01
LAGOA DOS PATOS|7500|4500|3000|2500|1500|1000
LAGOA DOURADA|20700|17250|13800|17250|11000|7000
LAGOA FORMOSA|30000|15000|10000|15000|10000|5000
LAGOA GRANDE|17112.63|11951.68|9561.35|8692.13|5867.19|2933.60
LAGOA SANTA|170000|140000|90000|110000|90000|80000
LAJINHA|30200|18400|14200|26200|17500|10100
LAMBARI|46500|40000|26000|40000|36000|20000
LAMIM|20000|16000|15000|14000|12000|10000
LARANJAL|14900|11600|9800|12100|7900|6900
LASSANCE|15000|8000|5000|5000|4000|2800
LAVRAS|14512|8600|7310|6450|5912|4300
LEANDRO FERREIRA|15000|10000|8000|10000|5000|2500
LEME DO PRADO|9000|6000|3900|6000|10900|3500
LEOPOLDINA|10330.57|8264.46|6198.35|6198.35|6198.35|5165.29
LIBERDADE|10000|8000|8000|6000|8000|4000
LIMA DUARTE|16335.34|13452.63|8167.67|7379.07|4919.38|3327.81
LIMEIRA DO OESTE|23609.81|18869.40|14676.20|15724.50|15200.35|8084.49
LONTRA|9500|8000|5000|4500|3000|2500
LUISBURGO|27206|24419|20852|19164|15636|12779
LUISLANDIA|1705|1320|1100|880|700|600
LUMINARIAS|15000|10500|7500|6600|6000|4500
LUZ|14348.45|11362.89|9099.10|9192.72|5766.76|3715.03
MACHACALIS|13171.48|11363.36|10072.31|8006.19|6973.14|5940.08
MACHADO|48000|35000|29000|25000|20500|12600
MADRE DE DEUS DE MINAS|10000|8000|5300|7700|5100|2650
MALACACHETA|4900|3800|2500|4900|3500|2800
MAMONAS|4655.92|3655.94|2741.95|4112.93|2284.96|1142.48
MANGA|5500|2800|1600|3000|900|900
MANHUACU|28000|22400|18480|16940|13860|13860
MANHUMIRIM|41811.75|31314.88|21540.66|32382.43|23486.15|16369.14
MANTENA|11665.12|6932.32|4852.09|9760.04|4879.68|3903.74
MAR DE ESPANHA|16240|12000|8860|12000|8500|7000
MARAVILHAS|8536.07|7632.35|6458.14|5189.58|4696.83|3048.75
MARIANA|23400|22230|17550|16575|13260|8287.50
MARILAC|9000|7000|5000|9000|5000|5000
MARIO CAMPOS|115000|102000|91000|81000|72000|64000
MARIPA DE MINAS|16240|12000|8860|12000|8500|7000
MARLIERIA|12497.59|8748.31|6248.80|12497.59|8974.81|6248.80
MARMELOPOLIS|18000|15000|12000|13000|10000|9000
MARTINHO CAMPOS|13000|12000|12000|12000|8000|6000
MARTINS SOARES|35000|25000|20000|25000|25000|10000
MATA VERDE|6200|5184|4310|5000|3824|3150
MATERLANDIA|9583.41|7666.75|5750.05|9583.41|5192.44|4791.70
MATEUS LEME|49500|42000|33000|24000|18000|13500
MATHIAS LOBATO|4300|3800|3800|3800|2600|1700
MATIAS BARBOSA|5000|3940|3730|3940|3250|2650
MATIAS CARDOSO|6000|3000|2800|3300|1400|1000
MATIPO|35000|26600|18500|15000|14300|8000
MATO VERDE|5020|3720|2830|3965|1950|1170
MATOZINHOS|13064.18|10688.87|8313.56|8313.56|7125.91|3562.95
MATUTINA|24076|13333|10611|8022|4005|2035
MEDEIROS|36750|23625|17500|17500|11375|7000
MEDINA|4401|3961|3521|3081|2640|2200
MENDES PIMENTEL|8264.46|6198.35|6198.35|4648.76|4648.76|3636.36
MERCES|10000|8000|7000|10000|5000|4000
MESQUITA|7000|5600|4900|7000|5600|5600
MINAS NOVAS|6123.36|4352.18|1845.05|6750.77|19741.17|659.59
MINDURI|9810.30|5948|5426.97|5948|5426.97|4905.15
MIRABELA|3850|2750|2310|1650|1100|880
MIRADOURO|15500|11500|8000|9500|5500|6500
MIRAVANIA|4620|2310|1155|1155|840|525
MOEDA|35146.20|31631.58|28116.96|26152.62|24518.08|35146.20
MOEMA|27500|22000|14000|22000|14000|9000
MONJOLOS|5571.50|5014.35|4436.23|3799.41|3342.86|1392.87
MONSENHOR PAULO|45000|32500|21000|38000|25000|10000
MONTE ALEGRE DE MINAS|39876.95|34210.43|30769.04|29916.68|26593.94|16931.75
MONTE AZUL|5109.50|3997.06|2728.92|3500|1930|1324
MONTE BELO|27000|22000|17000|17000|13000|8000
MONTE CARMELO|24000|16843.10|10955.28|9630.62|6657.51|3046.42
